Timestamp,1.  Do you use Video Streaming Platform?,2. How frequently you watch or stream online platforms ?,3. Which of the following Video Streaming Platform do you currently use?,4. What do you watch the most on video streaming platform? ,5. Which type of web series or movies do you prefer most?,6.  Have you watch or familiar with these original web series of Netflix.,7. Have you watch or familiar with these original web series of Amazon  Prime.,8. Have you watch or familiar with these original web series of Hotstar.,9. Have you watch or familiar with these original web series of Hulu.,10. What is your age?,11. From where did you get the idea of these web series.,12. On what basis you frequently choose your movies or web series.,13. How long you are using these video streaming platforms.,14. Choose the features which you think is essential on your streaming platforms.,15. How was your overall experience of video streaming platforms according to original web series.,16. Would you like to give any suggestion for the improvement.
3/9/2021 18:45,Yes,Daily,"Netflix, Hotstar",Original web series,Action,"Sacred Games, The Witcher","Mirzapur, Breath into the shadow , Legacies ",None of the above,None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",Less than 1 year,Recommendation,Good,No
3/9/2021 18:51,Yes,Daily,"Netflix, Hotstar",Original web series,Action,"13 Reasons Why, The Witcher, Money Heist",Mirzapur,"Special OPS, Criminal Justice, Arya",None of the above,18-30,Social Media,Story,Between 1 and 2 years,Recommendation,Good,Yes need more web shows
3/9/2021 18:52,Yes,Once or twice in a week,"Netflix, Prime, Hotstar",Original web series,"Action, Drama","Sacred Games, 13 Reasons Why, The Witcher","Mirzapur, Tandav","Hostages, Criminal Justice, Arya",None of the above,18-30,Family/Friends Recommendation,"Cast, Story",Between 1 and 2 years,"Search option, Recommendation",Good,..
3/9/2021 18:53,Yes,Daily,"Netflix, Hotstar",Original web series,"Action, Comedy","13 Reasons Why, The Witcher",None of the above,"Hostages, Criminal Justice, Arya",None of the above,18-30,Social Media,Story,Less than 1 year,"Search option, Recommendation",Good,N
3/9/2021 18:55,Yes,Daily,"Netflix, Prime, Hotstar","Original web series, Movies, Sports and News","Action, Drama, Comedy",Money Heist   ,"Mirzapur, Made in heaven, Tandav","Hostages, Criminal Justice, Arya",None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",Less than 1 year,Recommendation,Good,No need
3/9/2021 18:59,Yes,Daily,"Prime, Hotstar","Original web series, Movies, Sports and News","Action, Drama, Comedy",None of the above,Mirzapur,"Hostages, Arya",None of the above,18-30,"Family/Friends Recommendation, Social Media",Story,Less than 1 year,Recommendation,Good,No
3/9/2021 19:00,Yes,Daily,"Netflix, Hotstar",Original web series,Action,"Sacred Games, 13 Reasons Why, The Witcher",Mirzapur,"Special OPS, Hostages, Criminal Justice",None of the above,18-30,"Family/Friends Recommendation, Television, Social Media",Story,Less than 1 year,Recommendation,Good,Yes need more series
3/9/2021 19:01,Yes,Once or twice in a week,Netflix,Original web series,"Action, Drama, Comedy","Sacred Games, 13 Reasons Why, The Witcher, Money Heist",Mirzapur,Arya,Monsterland,18-30,"Family/Friends Recommendation, Social Media",Story,Between 1 and 2 years,"Search option, Recommendation",Fair,No
3/9/2021 19:02,Yes,Daily,"Prime, Hotstar",Original web series,"Action, Drama",None of the above,"Mirzapur, Tandav","Hostages, Arya",None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",More than 2 years,"Search option, Recommendation",Good,No
3/9/2021 19:03,Yes,Once or twice in a week,"Netflix, Prime","Original web series, Movies",Action,"Sacred Games, 13 Reasons Why","Mirzapur, Tandav",None of the above,None of the above,18-30,Social Media,Story,Less than 1 year,Recommendation,Good,None
3/9/2021 19:04,Yes,Daily,"Prime, Hotstar","Original web series, Movies","Action, Drama, Comedy","13 Reasons Why, The Witcher","Made in heaven, Tandav",None of the above,None of the above,18-30,Social Media,Story,Between 1 and 2 years,"Search option, Recommendation, Ease of use",Good,On
3/10/2021 18:47,Yes,Daily,"Netflix, Prime",Original web series,"Action, Drama, Comedy, Others","Sacred Games, The Witcher, Money Heist, Cursed","Mirzapur, Made in heaven, Tandav",None of the above,None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story, Director",More than 2 years,"Search option, Recommendation",Good,High price
3/10/2021 18:51,Yes,Daily,"Prime, Hotstar",Original web series,"Action, Drama, Comedy",None of the above,"Mirzapur, Made in heaven, Tandav, Jack Rayn,paradise city","Special OPS, Hostages, Criminal Justice, City of dreams,1962",None of the above,18-30,"Family/Friends Recommendation, Television, Social Media",Story,Between 1 and 2 years,"Search option, Recommendation",Good,There are too many advertisement.
3/10/2021 18:53,Yes,Once or twice in a week,Hotstar,"Original web series, Movies, Documentaries","Action, Drama, Comedy, Horror",None of the above,None of the above,"Special OPS, Hostages, Criminal Justice",None of the above,31-50,"Television, Social Media","Cast, Story",Less than 1 year,"Search option, Recommendation, Ease of use",Good,No
3/10/2021 18:55,Yes,Daily,"Netflix, Hotstar","Original web series, Documentaries","Action, Drama, Comedy","Sacred Games, 13 Reasons Why, The Witcher, Money Heist",None of the above,"Special OPS, Hostages, Criminal Justice",None of the above,18-30,"Family/Friends Recommendation, Television, Social Media","Cast, Story, Director",More than 2 years,"Search option, Recommendation",Good,Most of the time application Server is down
3/10/2021 18:56,Yes,Daily,"Prime, Hotstar","Original web series, Movies","Action, Drama, Comedy, Horror, Others",None of the above,"Made in heaven, Tandav","Special OPS, Hostages, Criminal Justice",None of the above,18-30,"Family/Friends Recommendation, Television, Social Media","Cast, Story, Director",More than 2 years,"Search option, Recommendation",Good,Limited space for downloading
3/10/2021 18:58,Yes,Daily,"Netflix, Hotstar","Original web series, Movies, Documentaries","Action, Drama, Comedy","Sacred Games, 13 Reasons Why, The Witcher",Mirzapur,"Special OPS, Hostages, Criminal Justice",None of the above,18-30,"Family/Friends Recommendation, Social Media",Story,Between 1 and 2 years,"Search option, Recommendation",Good,Need more functionality
3/10/2021 18:59,Yes,Monthly,Hotstar,"Original web series, Movies, Documentaries","Action, Drama",None of the above,None of the above,"Hostages, Arya, City of dreams",None of the above,18-30,"Family/Friends Recommendation, Social Media",Story,Between 1 and 2 years,"Search option, Recommendation",Good,No
3/10/2021 19:00,Yes,Daily,"Netflix, Hotstar",Original web series,"Action, Drama, Comedy, Horror, Others","Sacred Games, 13 Reasons Why, Money Heist",None of the above,"Special OPS, Hostages",Monsterland,18-30,"Family/Friends Recommendation, Social Media",Story,Between 1 and 2 years,Recommendation,Good,No
3/11/2021 16:38,Yes,Monthly,Hotstar,"Original web series, Movies, Documentaries","Drama, Comedy",None of the above,None of the above,"Hostages, Arya, The Legend of Hanuman,city of dreams",None of the above,31-50,"Television, Social Media",Story,Less than 1 year,"Search option, Ease of use",Good,No
3/11/2021 16:42,Yes,Daily,"Netflix, Prime, Hotstar",Original web series,"Action, Drama, Comedy","Sacred Games, The Witcher, Money Heist","Mirzapur, Tandav","Hostages, Arya",None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",Between 1 and 2 years,"Search option, Recommendation",Good,No
3/11/2021 16:44,Yes,Once or twice in a week,"Prime, Hotstar","Original web series, Movies","Action, Drama, Comedy",None of the above,Mirzapur,"Special OPS, Hostages, Criminal Justice",None of the above,18-30,"Family/Friends Recommendation, Social Media",Story,Between 1 and 2 years,"Search option, Recommendation",Good,None
3/11/2021 16:50,Yes,Monthly,Hotstar,Original web series,"Action, Drama, Comedy",None of the above,None of the above,"Hostages, Arya",None of the above,31-50,"Family/Friends Recommendation, Television, Social Media",Story,Between 1 and 2 years,"Search option, Recommendation, Ease of use, Accessibility",Good,.
3/11/2021 16:51,Yes,Daily,"Netflix, Hotstar","Original web series, Movies, Documentaries","Action, Drama, Comedy, Horror","Sacred Games, 13 Reasons Why, Money Heist",None of the above,"Special OPS, Hostages, Criminal Justice",None of the above,18-30,Social Media,"Cast, Story, Director",Between 1 and 2 years,Search option,Good,No
3/11/2021 17:12,Yes,Daily,"Netflix, Prime","Original web series, Documentaries","Action, Drama, Comedy","13 Reasons Why, The Witcher, Money Heist","Mirzapur, Made in heaven",None of the above,None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story, Director",Between 1 and 2 years,"Search option, Recommendation",Excellent,No need
3/11/2021 17:26,Yes,Daily,"Netflix, Hotstar","Original web series, Movies, Documentaries","Action, Drama, Comedy","Sacred Games, 13 Reasons Why, The Witcher",None of the above,"Hostages, Criminal Justice, Arya",None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story, Director",Between 1 and 2 years,"Search option, Recommendation",Excellent,High pricing
3/11/2021 17:29,Yes,Once or twice in a week,"Prime, Hotstar","Original web series, Movies, Documentaries, Sports and News","Action, Drama, Comedy, Horror",None of the above,"Mirzapur, Tandav","Hostages, Criminal Justice",None of the above,18-30,"Family/Friends Recommendation, Social Media",Story,Between 1 and 2 years,"Search option, Recommendation, Ease of use, Accessibility",Good,Limited memory
3/11/2021 17:30,Yes,Daily,Netflix,"Original web series, Movies","Action, Drama, Comedy","Sacred Games, 13 Reasons Why, The Witcher, Money Heist, Lucifer",None of the above,None of the above,None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",Between 1 and 2 years,"Search option, Recommendation",Good,Need more web series
3/11/2021 17:39,Yes,Once or twice in a week,Hotstar,"Original web series, Movies, Documentaries","Action, Drama, Comedy",None of the above,None of the above,"Hostages, Arya",None of the above,18-30,"Family/Friends Recommendation, Social Media",Story,Between 1 and 2 years,"Search option, Recommendation, Ease of use",Good,No
3/11/2021 17:45,Yes,Daily,"Netflix, Prime, Hotstar","Original web series, Movies","Action, Drama, Comedy, Others",The Witcher,"Mirzapur, Tandav","Hostages, Criminal Justice",None of the above,18-30,"Family/Friends Recommendation, Social Media",Story,Between 1 and 2 years,"Search option, Recommendation",Good,No
3/11/2021 21:15,Yes,Daily,"Netflix, Hotstar","Original web series, Movies, Documentaries","Action, Drama, Comedy","Sacred Games, The Witcher, Money Heist",None of the above,"Hostages, Criminal Justice",None of the above,18-30,"Family/Friends Recommendation, Social Media",Story,More than 2 years,"Search option, Recommendation, Ease of use",Good,No
3/11/2021 21:17,Yes,Daily,"Prime, Hotstar",Original web series,"Action, Drama, Comedy, Horror",None of the above,"Mirzapur, Made in heaven, Tandav","Hostages, Criminal Justice",None of the above,18-30,"Family/Friends Recommendation, Social Media",Story,Between 1 and 2 years,"Search option, Recommendation",Good,None
3/13/2021 11:14,Yes,Daily,Netflix,"Original web series, Movies, Documentaries","Action, Drama","Sacred Games, 13 Reasons Why, Money Heist",None of the above,None of the above,None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story, Director",Between 1 and 2 years,"Search option, Recommendation",Excellent,No
3/15/2021 11:51,Yes,Daily,"Netflix, Hotstar, Zee5,voot","Original web series, Documentaries","Action, Drama, Comedy, Others","Sacred Games, 13 Reasons Why",None of the above,"Hostages, Criminal Justice",None of the above,18-30,Social Media,Director,Between 1 and 2 years,"Search option, Recommendation, Ease of use",Good,No
3/15/2021 12:00,Yes,Daily,Hotstar,"Original web series, Movies","Action, Drama, Comedy",None of the above,None of the above,"Special OPS, Hostages, City of dreams",None of the above,31-50,"Television, Social Media",Story,Less than 1 year,"Search option, Recommendation, Ease of use, Accessibility",Good,No
3/15/2021 12:07,Yes,Once or twice in a week,"Prime, Hotstar","Original web series, Movies, Documentaries","Action, Drama, Comedy",None of the above,Mirzapur,"Special OPS, Hostages, Criminal Justice",None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story, Director",Between 1 and 2 years,"Search option, Recommendation",Good,No
3/15/2021 13:59,Yes,Daily,Netflix,Original web series,"Action, Drama, Comedy","Sacred Games, 13 Reasons Why, The Witcher, Money Heist, Lucifer",None of the above,None of the above,None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",Between 1 and 2 years,"Search option, Ease of use",Excellent,New web series
3/15/2021 14:10,Yes,Daily,Prime,"Original web series, Movies","Action, Drama, Comedy",None of the above,"Mirzapur, Tandav, Breath into the shadow ",None of the above,None of the above,18-30,"Family/Friends Recommendation, Television, Social Media",Story,Between 1 and 2 years,"Search option, Recommendation, Ease of use, Accessibility",Good,No need
3/15/2021 15:08,Yes,Daily,"Netflix, Hotstar","Original web series, Movies, Documentaries","Action, Drama, Comedy","Sacred Games, 13 Reasons Why, The Witcher, Money Heist",None of the above,"Hostages, Arya",None of the above,18-30,"Family/Friends Recommendation, Social Media",Story,Between 1 and 2 years,"Search option, Recommendation, Ease of use",Good,No
3/15/2021 15:13,Yes,Once or twice in a week,"Prime, Hotstar","Original web series, Movies","Action, Drama, Comedy, Horror, Others",None of the above,"Mirzapur, Tandav","Hostages, Criminal Justice",None of the above,18-30,"Family/Friends Recommendation, Social Media",Story,Between 1 and 2 years,"Search option, Recommendation",Good,No
3/15/2021 20:17,Yes,Daily,"Netflix, Prime","Original web series, Movies","Action, Drama, Comedy","13 Reasons Why, The Witcher",Mirzapur,None of the above,None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",Between 1 and 2 years,"Search option, Recommendation",Good,No
3/15/2021 20:17,Yes,Daily,"Netflix, Prime","Original web series, Movies","Action, Drama, Comedy","13 Reasons Why, The Witcher","Mirzapur, Breath into the shadow ",None of the above,None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",Between 1 and 2 years,"Search option, Recommendation",Good,No
3/15/2021 22:01,Yes,Once or twice in a week,Hotstar,"Original web series, Movies, Documentaries, Sports and News","Action, Drama, Comedy",None of the above,None of the above,"Hostages, Arya",None of the above,31-50,Television,Story,Less than 1 year,"Search option, Ease of use",Good,No
3/15/2021 22:12,Yes,Daily,Netflix,Original web series,"Action, Drama, Comedy, Others","Sacred Games, 13 Reasons Why, The Witcher, Money Heist",None of the above,None of the above,None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story, Director",Between 1 and 2 years,"Search option, Recommendation",Excellent,Its good
3/16/2021 14:44,Yes,Daily,"Prime, Hotstar","Original web series, Movies, Documentaries, Sports and News","Action, Drama, Comedy",None of the above,"Mirzapur, Tandav","Special OPS, Hostages, Arya",None of the above,18-30,"Family/Friends Recommendation, Television, Social Media","Cast, Story",Between 1 and 2 years,"Search option, Recommendation",Good,No
3/16/2021 21:33,Yes,Once or twice in a week,Hotstar,"Original web series, Movies, Documentaries, Sports and News","Action, Drama, Comedy, Others",None of the above,None of the above,"Hostages, Arya",None of the above,18-30,"Family/Friends Recommendation, Social Media",Story,Less than 1 year,"Search option, Recommendation, Ease of use, Accessibility",Good,No
3/17/2021 10:11,Yes,Daily,"Netflix, Prime, Hotstar, Zee5 , youtube","Original web series, Movies, Documentaries","Action, Drama, Comedy, Others",The Witcher,Made in heaven,"Hostages, Arya",None of the above,18-30,"Family/Friends Recommendation, Television, Social Media","Cast, Story, Director",Between 1 and 2 years,"Search option, Recommendation",Good,No
3/17/2021 10:25,Yes,Daily,"Netflix, Prime, Hotstar",Original web series,"Action, Comedy, Horror","Sacred Games, 13 Reasons Why, Money Heist",Mirzapur,Criminal Justice,None of the above,18-30,"Family/Friends Recommendation, Social Media",Story,More than 2 years,Ease of use,Good,No
3/17/2021 10:32,Yes,Daily,Prime,Original web series,"Action, Drama, Comedy, Horror, Others",None of the above,"Mirzapur, Tandav, Breath into the shadow, the The Family man   ",None of the above,None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story, Director",Between 1 and 2 years,"Search option, Recommendation",Good,need to complete pending series.
3/17/2021 12:43,Yes,Daily,Prime,"Original web series, Movies",Horror,Money Heist,Tandav,Criminal Justice,Woke,18-30,Family/Friends Recommendation,"Cast, Story, Director",Between 1 and 2 years,"Search option, Recommendation, Ease of use, Accessibility",Good,Remove adds
3/17/2021 13:57,Yes,Daily,Prime,Original web series,"Action, Drama, Comedy, Horror, Others",None of the above,"Mirzapur, Tandav, Breath into the shadow, the The Family man   ",None of the above,None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story, Director",Between 1 and 2 years,"Search option, Recommendation",Good,need to complete pending series.
3/17/2021 14:01,Yes,Daily,"Prime, Hotstar",Original web series,"Action, Drama, Comedy",None of the above,"Mirzapur, Made in heaven, Tandav","Special OPS, Hostages, Arya, the office,  Roar of the lion,out of love",None of the above,18-30,"Family/Friends Recommendation, Social Media",Story,Between 1 and 2 years,"Search option, Recommendation",Excellent,no
3/17/2021 15:39,Yes,Daily,"Netflix, Hotstar","Original web series, Movies","Action, Drama, Comedy, Others","Sacred Games, 13 Reasons Why, The Witcher, the cursed",None of the above,"Hostages, Criminal Justice",None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",Between 1 and 2 years,"Search option, Recommendation",Good,no
3/19/2021 9:40,Yes,Daily,"Prime, Zee5","Original web series, Movies","Action, Drama, Comedy, Horror",None of the above,"Mirzapur, Made in heaven, Tandav, Bombay begum",None of the above,None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",Between 1 and 2 years,"Search option, Recommendation",Good,No
3/19/2021 15:40,Yes,Daily,Prime,"Original web series, Movies","Action, Drama, Comedy, Horror",None of the above,"Mirzapur, Made in heaven, Tandav, Breath into the shadow ",None of the above,None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story, Director",Between 1 and 2 years,"Search option, Recommendation",Fair,No
3/19/2021 16:20,Yes,Daily,"Netflix, Hotstar","Original web series, Movies, Documentaries","Action, Drama, Comedy, Horror","Sacred Games, 13 Reasons Why, The Witcher",None of the above,"Special OPS, Hostages, Arya, Roar of the lion",None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",Less than 1 year,"Search option, Recommendation",Good,No
3/19/2021 17:24,Yes,Once or twice in a week,Hotstar,"Original web series, Movies","Drama, Comedy",None of the above,None of the above,"Special OPS, Hostages, City of dreams",None of the above,31-50,"Family/Friends Recommendation, Television, Social Media",Story,Between 1 and 2 years,"Search option, Recommendation, Ease of use",Good,No
3/19/2021 18:39,Yes,Daily,"Netflix, Prime, Hotstar","Original web series, Movies, Documentaries, Sports and News","Action, Comedy, Horror","Sacred Games, 13 Reasons Why, The Witcher, Money Heist","Mirzapur, Made in heaven, Tandav, Breath into the shadow ","Special OPS, Hostages, Criminal Justice, Arya","Helstorm, Monsterland, Woke, The Ultimate Playlist of Noise",18-30,"Family/Friends Recommendation, Social Media","Cast, Story, Director",More than 2 years,Ease of use,Excellent,Remove advertisements 
3/21/2021 9:58,Yes,Daily,Hotstar,Original web series,"Action, Drama, Comedy, Others",None of the above,None of the above,"Hostages, Criminal Justice, Arya",None of the above,31-50,"Television, Social Media",Story,Less than 1 year,"Search option, Ease of use",Good,No
3/21/2021 10:54,Yes,Daily,"Prime, Hotstar","Original web series, Movies","Action, Drama, Comedy",None of the above,"Mirzapur, Made in heaven, Tandav","Hostages, Criminal Justice",None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",Between 1 and 2 years,"Search option, Recommendation",Good,No need
3/22/2021 8:35,Yes,Once or twice in a week,"Prime, Hotstar","Original web series, Movies","Action, Drama",None of the above,"Mirzapur, Made in heaven, Tandav","Hostages, Criminal Justice",None of the above,31-50,"Television, Social Media","Cast, Story",Between 1 and 2 years,"Search option, Ease of use",Fair,No
3/22/2021 11:21,Yes,Daily,"Netflix, Prime","Original web series, Movies, Documentaries","Action, Drama, Comedy","Sacred Games, 13 Reasons Why, The Witcher","Mirzapur, Made in heaven",None of the above,None of the above,18-30,"Family/Friends Recommendation, Social Media",Story,Between 1 and 2 years,"Search option, Recommendation",Good,no
3/22/2021 11:30,Yes,Daily,Prime,"Original web series, Movies, Documentaries","Action, Drama, Comedy",None of the above,"Mirzapur, Made in heaven, Tandav",None of the above,None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story, Director",Between 1 and 2 years,"Search option, Recommendation",Good,please give me some storage 
3/22/2021 11:38,Yes,Daily,Prime,"Original web series, Movies","Action, Drama, Comedy",13 Reasons Why,"Mirzapur, Tandav",None of the above,Helstorm,18-30,Social Media,Story,Between 1 and 2 years,Recommendation,Good,I want New stories
3/22/2021 11:38,Yes,Daily,Prime,"Original web series, Movies","Action, Drama, Comedy",13 Reasons Why,"Mirzapur, Tandav",None of the above,Helstorm,18-30,Social Media,Story,Between 1 and 2 years,Recommendation,Good,I want New stories
3/22/2021 12:55,Yes,Once or twice in a week,"Prime, Hotstar","Original web series, Movies, Documentaries","Action, Drama, Comedy",None of the above,"Mirzapur, Made in heaven, Tandav","Special OPS, Hostages, Criminal Justice",None of the above,31-50,"Family/Friends Recommendation, Social Media","Cast, Story",Between 1 and 2 years,"Search option, Recommendation",Good,No
3/22/2021 13:19,Yes,Daily,Prime,"Original web series, Movies","Action, Drama, Comedy, Others","Sacred Games, The Witcher","Mirzapur, Made in heaven",None of the above,None of the above,18-30,"Family/Friends Recommendation, Television, Social Media, Banners","Cast, Story",Between 1 and 2 years,"Search option, Recommendation",Good,Price should be decreased
3/22/2021 19:51,Yes,Daily,Prime,"Original web series, Movies","Action, Drama",None of the above,"Mirzapur, Made in heaven, Breath into the shadow ",None of the above,None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",Less than 1 year,"Search option, Recommendation",Good,No
3/23/2021 22:49,Yes,Daily,"Prime, Hotstar","Original web series, Movies, Documentaries, Others","Action, Drama, Comedy, Others",None of the above,"Mirzapur, Made in heaven, Breath into the shadow ","Hostages, Criminal Justice",None of the above,18-30,"Family/Friends Recommendation, Television, Social Media","Cast, Story, language",Less than 1 year,"Search option, Recommendation, Ease of use",Good,No
3/24/2021 7:59,Yes,Daily,Netflix,"Original web series, Movies","Action, Drama, Comedy","Sacred Games, 13 Reasons Why, Money Heist",None of the above,None of the above,None of the above,18-30,"Family/Friends Recommendation, Television, Social Media",Story,More than 2 years,"Search option, Recommendation",Good,No
3/24/2021 8:24,Yes,Once or twice in a week,Hotstar,"Original web series, Movies, Documentaries, Sports and News, Others","Action, Drama, Comedy, Horror, Others",None of the above,None of the above,"Special OPS, Hostages, Criminal Justice, Arya",None of the above,18-30,"Family/Friends Recommendation, Television, Social Media","Cast, Story",Less than 1 year,"Search option, Recommendation, Ease of use",Excellent,No
3/24/2021 8:36,Yes,Daily,Prime,"Original web series, Movies, Documentaries, Sports and News","Action, Drama",None of the above,"Mirzapur, Made in heaven, Tandav, Breath into the shadow ",None of the above,None of the above,18-30,Social Media,"Cast, Story, Director",Between 1 and 2 years,"Search option, Recommendation",Good,No
3/24/2021 11:21,Yes,Daily,"Netflix, youtube","Original web series, Movies, Documentaries, Sports and News, Others","Action, Drama, Comedy, Horror, Others","Sacred Games, 13 Reasons Why, The Witcher, Money Heist, the crew , the crown, lost in space ",Mirzapur,None of the above,None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",Between 1 and 2 years,"Search option, Recommendation",Good,high pricing
3/24/2021 12:51,Yes,Daily,Netflix,"Original web series, Movies, Documentaries","Action, Drama, Comedy","Sacred Games, 13 Reasons Why, The Witcher, Money Heist, lucifer , cursed",None of the above,None of the above,None of the above,18-30,"Family/Friends Recommendation, Television, Social Media",Story,Between 1 and 2 years,"Search option, Recommendation",Good,No
3/24/2021 12:51,Yes,Daily,"Prime, Hotstar","Original web series, Movies, Documentaries, Sports and News","Action, Drama, Comedy",None of the above,"Mirzapur, Tandav, paradise city,hand of god",Hostages,None of the above,18-30,"Family/Friends Recommendation, Television, Social Media",Story,More than 2 years,Recommendation,Good,no
3/24/2021 15:36,Yes,Monthly,Hotstar,"Original web series, Movies, Documentaries","Action, Drama, Comedy",None of the above,None of the above,"Special OPS, Hostages, Arya",None of the above,31-50,Television,Story,Less than 1 year,Search option,Good,No
3/24/2021 15:53,Yes,Daily,Prime,Original web series,"Action, Drama, Comedy, Horror, Others",None of the above,"Mirzapur, Made in heaven, Tandav",None of the above,None of the above,18-30,"Family/Friends Recommendation, Television, Social Media",Story,Between 1 and 2 years,"Search option, Recommendation",Good,No
3/24/2021 16:57,Yes,Daily,Hotstar,"Original web series, Movies, Documentaries","Action, Drama, Comedy",None of the above,None of the above,"Hostages, Arya, city of dreams,1962,roar of lion",None of the above,18-30,"Family/Friends Recommendation, Television, Social Media",Story,Between 1 and 2 years,"Search option, Recommendation",Good,no
3/25/2021 11:21,Yes,Once or twice in a week,Hotstar,"Original web series, Others","Action, Drama, Comedy",None of the above,None of the above,"Hostages, Arya",None of the above,18-30,"Television, Social Media, youtube","Cast, Story",Between 1 and 2 years,"Search option, Recommendation, Ease of use",Good,No
3/25/2021 11:34,Yes,Daily,"Netflix, Hotstar","Original web series, Movies","Action, Drama, Comedy","Sacred Games, 13 Reasons Why, The Witcher",None of the above,"Hostages, Arya",None of the above,18-30,"Family/Friends Recommendation, Television, Social Media","Cast, Story, Director",Less than 1 year,"Search option, Recommendation",Good,No
3/25/2021 12:38,Yes,Daily,Prime,"Original web series, Movies, Documentaries","Action, Drama, Comedy",None of the above,"Mirzapur, Tandav",None of the above,None of the above,18-30,Social Media,"Cast, Story, Director",Between 1 and 2 years,"Search option, Recommendation",Good,None
3/27/2021 14:55,Yes,Daily,Hotstar,Original web series,"Action, Drama, Comedy",None of the above,None of the above,"Special OPS, Hostages, Criminal Justice",None of the above,18-30,"Family/Friends Recommendation, Television, Social Media","Cast, Story, Director",Less than 1 year,"Search option, Recommendation",Good,No
3/28/2021 10:10,Yes,Once or twice in a week,Hotstar,"Original web series, Movies, Documentaries, Sports and News","Action, Drama, Comedy",None of the above,Mirzapur,"Hostages, Arya",None of the above,18-30,"Family/Friends Recommendation, Social Media",Story,Between 1 and 2 years,"Search option, Recommendation",Good,No
3/29/2021 15:28,Yes,Once or twice in a week,Prime,"Original web series, Movies, Documentaries","Action, Drama, Comedy",None of the above,"Mirzapur, Tandav",None of the above,Monsterland,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",Between 1 and 2 years,"Search option, Recommendation",Good,No
3/29/2021 19:02,Yes,Daily,Hotstar,"Original web series, Movies, Documentaries, Sports and News, Others","Action, Drama, Comedy",None of the above,Mirzapur,"Special OPS, Hostages, Arya",None of the above,18-30,Social Media,Story,Less than 1 year,"Search option, Recommendation",Good,No
3/30/2021 21:00,Yes,Once or twice in a week,Prime,"Original web series, Movies, Documentaries","Action, Drama, Comedy",None of the above,"Mirzapur, Made in heaven, Tandav",None of the above,None of the above,18-30,"Family/Friends Recommendation, Television, Social Media","Cast, Story, Director",Less than 1 year,"Search option, Recommendation, Ease of use, Accessibility",Good,No
3/30/2021 21:12,Yes,Daily,Hotstar,"Original web series, Movies, Documentaries, Sports and News","Action, Drama, Comedy, Horror, Others",None of the above,None of the above,"Special OPS, Hostages, Criminal Justice, Arya",None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story, Director",Between 1 and 2 years,"Search option, Recommendation",Excellent,No
3/30/2021 21:13,Yes,Daily,"Netflix, Hotstar","Original web series, Movies, Documentaries, Sports and News","Action, Drama, Comedy, Others","Sacred Games, 13 Reasons Why, The Witcher, Money Heist",None of the above,"Special OPS, Hostages, Criminal Justice",None of the above,18-30,"Family/Friends Recommendation, Television, Social Media","Cast, Story, Director",Between 1 and 2 years,"Search option, Recommendation",Good,No
3/30/2021 23:22,Yes,Daily,Netflix,Original web series,"Action, Drama, Comedy, Horror, Others","Sacred Games, 13 Reasons Why, The Witcher, Money Heist",Mirzapur,None of the above,None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",Between 1 and 2 years,"Search option, Recommendation",Excellent,High pricing
3/30/2021 23:23,Yes,Daily,Netflix,"Original web series, Movies, Documentaries","Action, Drama, Comedy, Horror, Others","13 Reasons Why, The Witcher, Money Heist",None of the above,None of the above,None of the above,18-30,"Family/Friends Recommendation, Social Media","Cast, Story",More than 2 years,"Search option, Recommendation",Good,No
3/30/2021 23:24,Yes,Monthly,Hotstar,"Original web series, Movies, Documentaries, Sports and News, Others","Action, Drama, Comedy, Horror, Others",None of the above,None of the above,"Hostages, The Roar of lion",None of the above,18-30,"Family/Friends Recommendation, Social Media",Story,More than 2 years,"Search option, Recommendation",Good,No
